char_id,gender,age,group,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm_x,training_pattern,hip_score,waist_def_score,somatotype,height_cm_y,neck_circ_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,mid_thigh_circ_cm,calf_circ_cm,bicep_circ_cm,elbow_circ_cm,forearm_circ_cm,wrist_circ_cm,upper_arm_length_cm,forearm_length_cm,total_arm_length_cm,upper_leg_length_cm,lower_leg_length_cm,total_leg_length_cm
char_06015,female,36,overweight,0.4139,0.2473,0.2951,0.4107,0.3536,0.5765,0.3582,0.5535,0.397,0.6536,,balanced,0.6578,0.5045,pear,155.0,41.71,113.57,121.94,139.33,76.78,36.61,37.64,29.85,25.2,17.06,21.67,19.07,40.74,37.7,35.62,73.31
char_06039,female,25,athletic_hyper,0.1302,0.7895,0.2943,0.3129,0.4965,0.5483,0.6118,0.4739,0.3118,0.4939,,balanced,0.4321,0.3438,rectangle,156.87,37.3,96.53,93.41,110.56,64.03,35.83,33.42,26.27,22.05,15.18,21.25,18.55,39.79,37.27,38.98,76.24
char_06040,female,16,overweight,0.3772,0.2422,0.2965,0.6715,0.656,0.6273,0.6582,0.6775,0.3775,0.4501,,balanced,0.5231,0.7971,rectangle,162.83,41.3,120.98,115.99,132.0,72.99,38.07,36.89,29.13,24.05,16.59,22.41,18.98,41.39,38.5,39.81,78.31
char_06065,female,19,athletic_hyper,0.1191,0.7502,0.2981,0.3399,0.4007,0.5302,0.4856,0.329,0.3237,0.6237,,balanced,0.6543,0.4283,pear,155.88,36.84,98.66,92.26,111.31,63.98,34.11,30.28,25.1,21.93,15.04,20.19,18.67,38.87,37.2,37.44,74.63
char_06108,female,39,obese,0.9685,0.3095,0.2772,0.3833,0.4738,0.3914,0.35,0.609,0.3183,0.6183,,balanced,0.7237,0.6864,apple,150.56,58.5,282.63,186.84,205.53,115.64,48.73,51.89,39.04,31.47,20.91,21.6,18.1,39.7,34.39,34.62,69.0
char_06136,female,39,athletic_lean,0.1437,0.5535,0.2069,0.5089,0.6364,0.3866,0.3364,0.6078,0.3987,0.3599,,upper_dominant,0.5466,0.3317,rectangle,144.5,37.33,107.63,94.33,107.37,60.6,31.72,34.58,26.66,22.3,15.19,19.72,16.99,36.71,31.1,31.17,62.26
char_06148,female,20,athletic_lean,0.132,0.4222,0.391,0.5395,0.5136,0.6396,0.4382,0.6937,0.7382,0.4747,,push_dominant,0.6959,0.4868,pear,167.93,35.85,99.12,91.75,109.46,61.84,31.04,32.78,26.5,24.1,15.6,25.2,23.79,48.99,42.94,41.22,84.15
char_06183,female,23,normal,0.3279,0.2063,0.2928,0.5452,0.2452,0.278,0.4007,0.5259,0.2748,0.5433,,balanced,0.7107,0.7526,pear,153.88,39.99,121.54,111.14,126.6,68.92,36.01,36.26,28.48,23.55,16.28,21.12,18.15,39.28,33.53,36.01,69.53
char_06197,female,29,normal,0.1957,0.2129,0.295,0.6846,0.3846,0.5371,0.4482,0.6276,0.5877,0.5622,,balanced,0.7993,0.6612,pear,158.79,36.7,112.41,97.88,115.21,63.87,32.27,32.52,26.55,23.61,15.78,22.01,20.42,42.43,37.15,36.84,73.98
char_06225,female,33,athletic_hyper,0.063,0.8824,0.3015,0.6071,0.6837,0.7249,0.4249,0.5009,0.5627,0.5929,,push_dominant,0.5655,0.785,rectangle,160.42,36.35,104.75,84.6,105.1,61.41,30.11,30.5,25.11,22.34,15.05,21.56,20.57,42.12,39.92,36.76,76.67
char_06229,female,30,athletic_hyper,0.1344,0.7527,0.2959,0.4791,0.4129,0.6672,0.6492,0.5316,0.3672,0.3824,,balanced,0.5795,0.3883,rectangle,161.14,37.5,104.89,94.33,113.25,65.47,35.85,33.55,26.34,22.14,15.17,21.54,18.96,40.5,38.98,39.62,78.59
char_06230,female,28,obese,0.8337,0.2387,0.2895,0.3986,0.607,0.4219,0.5477,0.6986,0.6167,0.585,,balanced,0.2122,0.631,apple,154.24,52.77,135.66,164.83,177.91,95.59,46.72,48.36,37.45,31.8,20.51,22.76,20.5,43.26,35.35,37.91,73.25
char_06285,female,22,normal,0.2844,0.1694,0.2959,0.4186,0.3587,0.4584,0.4291,0.5999,0.5796,0.2999,,balanced,0.3428,0.4222,apple,154.82,38.26,106.2,105.47,119.2,66.26,34.8,35.66,28.55,25.48,16.66,22.04,20.38,42.42,36.11,36.59,72.7
char_06353,female,19,obese,0.8935,0.2008,0.2907,0.2835,0.5377,0.4778,0.3267,0.4394,0.5835,0.3566,,balanced,0.3455,0.7556,apple,151.67,54.23,139.38,173.21,189.35,103.26,46.62,46.89,37.71,33.28,21.17,20.88,20.26,41.14,36.17,34.96,71.12
char_06386,female,28,athletic_hyper,0.093,0.8735,0.2583,0.3235,0.6121,0.372,0.6235,0.5271,0.339,0.5123,,upper_dominant,0.3955,0.8764,rectangle,150.95,37.45,96.06,87.43,101.55,58.41,34.16,34.52,26.5,22.01,15.12,20.79,17.94,38.73,33.2,37.37,70.56
char_06431,female,21,underweight,0.0906,0.1469,0.2946,0.5813,0.722,0.4921,0.4944,0.5926,0.4233,0.7233,,balanced,0.7093,0.4467,pear,157.25,32.84,93.78,83.95,98.54,53.8,28.64,27.1,22.71,19.03,14.0,21.9,19.24,41.13,36.5,37.44,73.94
char_06441,female,30,overweight,0.4198,0.2339,0.2953,0.3946,0.4226,0.3564,0.5903,0.6564,0.5413,0.4144,,balanced,0.7802,0.4146,pear,154.98,41.73,112.09,123.18,138.44,74.55,39.32,39.03,30.71,26.56,17.46,22.5,20.1,42.6,34.75,38.74,73.49
char_06456,female,28,athletic_hyper,0.1304,0.8112,0.4157,0.4238,0.5988,0.4177,0.4397,0.2988,0.3939,0.5201,,balanced,0.4487,0.8746,hourglass,167.48,37.8,105.66,92.37,109.11,62.9,34.2,30.57,25.77,23.28,15.52,22.93,22.04,44.96,40.99,42.24,83.21
char_06473,female,18,normal,0.2095,0.1351,0.2952,0.5364,0.623,0.3839,0.5026,0.5719,0.4076,0.6839,,balanced,0.62,0.4343,pear,155.77,36.41,103.33,98.89,112.25,61.45,33.11,31.76,25.95,22.11,15.43,21.72,19.15,40.87,35.09,37.55,72.63
char_06500,female,29,obese,0.6331,0.2887,0.2634,0.6129,0.7487,0.8735,0.9129,0.8718,0.7206,0.8712,,balanced,0.644,0.242,apple,163.56,47.26,122.81,148.03,164.89,89.19,44.14,42.6,33.52,28.03,18.69,23.4,20.63,44.03,40.39,41.84,82.22
char_06502,female,22,overweight,0.4635,0.3252,0.3583,0.6666,0.4014,0.4819,0.6747,0.7014,0.6291,0.4674,,balanced,0.6308,0.8792,rectangle,167.5,44.08,128.42,125.85,141.83,76.99,40.6,39.92,31.62,27.35,17.83,24.21,22.23,46.44,39.33,42.89,82.2
char_06504,female,30,obese,0.8038,0.3061,0.3026,0.4172,0.6371,0.454,0.3465,0.6465,0.5679,0.469,,balanced,0.7886,0.8816,pear,154.01,52.64,138.51,167.14,185.44,100.53,44.61,47.9,37.08,31.5,20.31,22.62,20.46,43.08,36.4,35.77,72.16
char_06539,female,30,athletic_hyper,0.0547,0.7471,0.2973,0.3396,0.6295,0.4826,0.4264,0.3295,0.3667,0.4714,,pull_dominant,0.2822,0.8273,v_shape,154.49,35.15,93.44,81.64,97.47,56.78,30.97,28.32,23.78,20.88,14.48,20.19,18.96,39.15,36.48,36.58,73.06
char_06560,female,23,normal,0.2393,0.121,0.332,0.5862,0.5971,0.4415,0.4772,0.5406,0.4111,0.2971,,balanced,0.8428,0.2578,apple,161.4,37.27,112.09,104.42,119.8,65.5,33.98,32.7,26.69,23.02,15.8,22.29,20.05,42.34,37.58,38.93,76.5
char_06604,female,21,overweight,0.5048,0.2263,0.297,0.612,0.5894,0.4155,0.7155,0.6832,0.4977,0.6913,,balanced,0.3824,0.4208,apple,159.74,44.33,124.27,129.88,142.03,76.51,41.17,39.55,31.27,26.08,17.65,22.6,19.84,42.44,35.63,40.56,76.18
char_06672,female,36,obese,0.6806,0.2638,0.296,0.2674,0.5527,0.5074,0.5674,0.4485,0.3684,0.4334,,balanced,0.2875,0.5121,apple,155.91,48.42,125.61,149.44,163.82,89.18,45.01,42.15,33.64,28.41,18.98,21.03,18.88,39.9,36.85,38.51,75.35
char_06692,female,31,normal,0.2447,0.1274,0.3201,0.5427,0.5984,0.4378,0.52,0.694,0.7378,0.717,,balanced,0.6176,0.8407,rectangle,158.58,37.06,100.91,100.7,115.44,63.14,33.11,33.38,27.49,25.04,16.38,23.43,22.08,45.52,36.94,38.96,75.9
char_06705,female,36,athletic_lean,0.1035,0.5882,0.3592,0.5882,0.5372,0.4153,0.3942,0.6228,0.4622,0.3228,,lower_dominant,0.6446,0.3801,pear,162.72,35.09,107.63,88.68,105.83,59.65,31.73,32.37,25.37,21.46,14.68,23.58,21.07,44.65,38.42,39.06,77.47
char_06715,female,26,overweight,0.4628,0.2532,0.2937,0.5938,0.4361,0.6516,0.6685,0.7361,0.6197,0.5577,,balanced,0.3498,0.6427,apple,161.45,43.21,120.0,124.58,139.39,76.69,39.75,39.61,31.24,26.71,17.67,22.97,20.63,43.59,38.68,39.83,78.5
char_06724,female,32,normal,0.3353,0.2316,0.2912,0.3412,0.6412,0.6015,0.4149,0.5319,0.4196,0.6062,,balanced,0.3388,0.6925,v_shape,154.74,39.46,102.44,110.8,125.79,70.43,35.21,34.71,28.15,24.08,16.45,21.53,19.13,40.66,37.86,36.22,74.08
char_06728,female,27,normal,0.325,0.2571,0.2946,0.47,0.6587,0.464,0.4453,0.4808,0.7453,0.5381,,balanced,0.4156,0.6784,rectangle,154.94,39.59,106.99,109.97,123.52,68.11,35.04,32.9,28.17,26.34,17.04,21.24,21.5,42.74,36.13,36.76,72.88
char_06734,female,25,obese,0.6939,0.3085,0.2945,0.448,0.6295,0.4987,0.5671,0.3295,0.5877,0.5947,,balanced,0.6314,0.6587,rectangle,157.11,49.47,131.93,153.58,170.05,91.92,44.62,39.72,33.52,30.13,19.51,20.09,20.37,40.46,36.67,38.43,75.09
char_06753,female,37,overweight,0.3993,0.2933,0.2959,0.6131,0.3322,0.6266,0.5519,0.4973,0.3497,0.3266,,balanced,0.6592,0.7281,pear,161.42,42.27,127.2,119.93,138.42,76.83,38.82,36.39,29.25,24.63,16.83,21.02,18.75,39.77,38.46,38.33,76.78
char_06765,female,20,obese,0.7348,0.2157,0.2923,0.5068,0.3469,0.4115,0.6449,0.5391,0.6469,0.3478,,balanced,0.7288,0.5195,apple,157.72,50.66,139.72,158.89,175.62,93.93,46.36,43.98,35.45,31.38,20.03,21.47,20.76,42.23,35.38,39.37,74.74
char_06775,female,16,normal,0.2679,0.2543,0.2947,0.7902,0.5781,0.7724,0.8,0.5124,0.7004,0.5476,,balanced,0.603,0.3486,rectangle,167.31,38.67,116.23,106.23,122.77,68.44,36.62,29.93,26.37,24.48,16.3,21.23,21.19,42.41,40.41,41.72,82.13
char_06799,female,37,athletic_hyper,0.1348,0.9097,0.2942,0.4638,0.6795,0.6519,0.3926,0.3795,0.4058,0.4528,,balanced,0.5532,0.8376,hourglass,157.23,38.41,107.28,95.07,115.21,67.47,33.54,32.51,26.56,23.52,15.74,20.51,19.29,39.8,38.6,35.95,74.54
char_06807,female,20,overweight,0.4618,0.2326,0.2816,0.6818,0.6206,0.6259,0.5902,0.3818,0.4115,0.517,,balanced,0.8016,0.8807,pear,160.85,43.62,130.0,127.19,145.79,79.99,39.42,34.12,29.0,25.18,17.24,19.86,18.83,38.69,37.82,38.18,76.0
char_06871,female,34,obese,0.9473,0.2495,0.2934,0.4354,0.5436,0.4943,0.4237,0.4741,0.3979,0.2436,,balanced,0.599,0.403,apple,155.77,57.82,286.64,184.52,202.23,110.7,49.17,48.96,38.31,32.16,21.05,20.97,19.03,39.99,36.56,36.41,72.96
char_06923,female,34,normal,0.3064,0.1559,0.2941,0.4572,0.4692,0.304,0.4075,0.2988,0.2478,0.1692,,balanced,0.6104,0.4774,rectangle,154.15,39.12,117.79,109.78,124.16,68.24,36.24,32.45,27.09,23.56,16.21,19.54,17.97,37.51,33.98,36.17,70.14
char_06943,female,36,athletic_hyper,0.062,0.9316,0.294,0.4626,0.1626,0.3247,0.173,0.1959,0.3863,0.3439,,pull_dominant,0.6289,0.6505,rectangle,151.07,36.84,113.97,85.67,104.95,60.68,30.57,30.69,25.53,23.65,15.47,18.98,19.14,38.12,34.1,32.84,66.93
char_06963,female,23,overweight,0.5703,0.2873,0.2715,0.7648,0.5149,0.8149,0.567,0.768,0.7978,0.7239,,balanced,0.2403,0.8503,apple,161.36,46.61,132.56,135.29,150.69,83.06,39.74,40.87,32.9,28.91,18.69,22.6,21.35,43.95,39.85,37.45,77.29
char_06969,female,37,overweight,0.5394,0.2396,0.2914,0.446,0.1874,0.1744,0.4744,0.2723,0.1845,0.2684,,balanced,0.355,0.5185,apple,153.12,45.89,136.44,133.46,146.15,78.96,42.24,38.46,31.08,26.33,17.85,19.24,17.46,36.69,32.08,36.92,69.0
char_06994,female,27,normal,0.3078,0.1341,0.2978,0.4945,0.3928,0.4831,0.6471,0.3722,0.6722,0.5594,,balanced,0.7431,0.3594,pear,158.79,38.66,107.72,110.38,126.05,68.77,36.95,30.35,27.08,25.95,16.89,20.45,21.05,41.49,36.59,39.68,76.26
char_07004,female,29,overweight,0.5307,0.2479,0.2954,0.4602,0.6471,0.5132,0.3698,0.3471,0.5534,0.6439,,balanced,0.3065,0.7115,apple,154.98,44.86,122.29,131.98,145.66,79.84,38.77,35.76,30.67,27.84,18.25,20.2,20.15,40.35,36.84,35.77,72.61
char_07146,female,18,normal,0.3027,0.2689,0.3014,0.5868,0.398,0.3956,0.6705,0.5748,0.3705,0.3814,,balanced,0.3662,0.5339,v_shape,160.05,39.6,117.83,107.52,120.69,66.57,37.59,35.4,28.08,23.5,16.15,21.76,19.04,40.8,35.55,40.14,75.68
char_07162,female,36,overweight,0.4375,0.205,0.2971,0.3771,0.5236,0.5055,0.4625,0.5132,0.6771,0.593,,balanced,0.2905,0.8458,v_shape,154.8,41.85,109.16,120.04,134.28,73.95,37.6,36.22,30.23,27.66,17.85,21.61,21.08,42.69,36.81,37.12,73.93
char_07166,female,22,obese,0.62,0.2275,0.295,0.4269,0.4872,0.3994,0.5913,0.3294,0.5581,0.6294,,balanced,0.3997,0.446,apple,156.07,47.06,126.84,142.93,156.4,84.15,43.4,37.67,32.14,29.12,18.95,20.08,20.17,40.25,35.31,38.76,74.06
char_07228,female,30,normal,0.2352,0.2377,0.305,0.4865,0.4105,0.6738,0.3738,0.5297,0.4733,0.4384,,balanced,0.5189,0.8733,hourglass,158.58,37.47,106.0,100.26,118.21,66.91,33.03,32.9,26.89,23.63,15.94,21.69,19.84,41.53,39.46,36.32,75.77
char_07238,female,26,obese,0.6449,0.2104,0.2984,0.4863,0.2141,0.1863,0.4035,0.3252,0.293,0.3404,,balanced,0.689,0.5247,apple,153.19,48.76,143.21,147.97,163.17,87.2,43.53,41.04,33.08,28.35,18.83,19.82,18.39,38.21,32.57,36.28,68.84
char_07284,female,33,athletic_lean,0.1204,0.5322,0.2512,0.4532,0.1532,0.4413,0.3762,0.226,0.3828,0.2256,,pull_dominant,0.649,0.5028,pear,150.78,36.32,110.38,90.89,108.84,62.23,33.16,28.87,24.72,22.83,15.21,17.98,17.89,35.87,33.87,33.78,67.65
char_07300,female,29,overweight,0.4801,0.2871,0.2955,0.4385,0.4621,0.4812,0.4246,0.351,0.5412,0.651,,balanced,0.4294,0.7088,rectangle,155.12,43.73,119.73,126.87,142.04,77.89,38.83,35.25,30.09,27.39,17.93,20.22,20.07,40.29,36.42,36.52,72.93
char_07338,female,21,normal,0.3362,0.1652,0.2982,0.6394,0.7046,0.6938,0.6899,0.545,0.6222,0.4046,,balanced,0.5276,0.552,rectangle,163.64,39.68,113.24,112.24,127.91,70.91,37.02,32.57,27.74,25.0,16.72,21.64,20.73,42.37,39.49,40.35,79.84
char_07402,female,25,athletic_lean,0.0733,0.5574,0.294,0.4034,0.6647,0.6267,0.4027,0.438,0.3647,0.3817,,upper_dominant,0.5645,0.6223,rectangle,156.34,35.09,95.19,84.53,101.23,58.16,29.73,29.19,24.03,20.59,14.38,20.8,18.8,39.6,38.35,36.19,74.53
char_07466,female,37,athletic_lean,0.1328,0.5153,0.2975,0.8315,0.8232,0.6321,0.5695,0.5315,0.5796,0.5832,,balanced,0.2931,0.3013,v_shape,163.09,36.64,112.66,91.63,104.72,59.69,32.12,28.65,24.55,21.95,15.01,21.36,20.41,41.77,38.56,38.65,77.2
char_07488,female,36,athletic_lean,0.1222,0.4456,0.2078,0.3375,0.6375,0.3699,0.3614,0.4799,0.5557,0.4504,,upper_dominant,0.2111,0.3038,apple,142.33,35.75,93.56,89.27,100.16,56.75,30.89,31.05,25.55,23.23,15.36,19.05,18.1,37.14,30.9,31.55,62.44
char_07503,female,26,obese,0.9297,0.226,0.311,0.3871,0.4087,0.291,0.591,0.5419,0.2982,0.5301,,balanced,0.5429,0.6386,apple,156.31,56.67,148.68,179.33,195.43,105.79,50.63,49.71,38.07,30.91,20.62,21.94,18.75,40.69,34.59,39.47,74.05
char_07518,female,29,obese,0.8813,0.2365,0.2456,0.4818,0.5389,0.555,0.5221,0.291,0.591,0.3284,,balanced,0.6254,0.8448,rectangle,153.09,55.26,149.21,174.89,193.63,106.09,48.28,43.59,36.44,32.74,20.97,18.49,19.22,37.71,35.22,35.55,70.76
char_07522,female,39,obese,0.9246,0.2626,0.358,0.3368,0.276,0.2378,0.5378,0.5182,0.5352,0.3535,,balanced,0.7532,0.8738,pear,159.36,56.54,147.85,180.23,198.4,107.27,50.61,49.99,39.14,33.79,21.42,23.05,21.54,44.58,36.01,40.91,76.92
char_07541,female,36,normal,0.1686,0.201,0.3569,0.364,0.5949,0.4535,0.3346,0.4855,0.5311,0.2949,,balanced,0.5401,0.8242,hourglass,159.41,35.6,96.24,93.7,109.42,61.57,31.67,31.31,26.03,23.8,15.73,22.79,21.48,44.27,38.84,38.14,76.97
char_07574,female,29,normal,0.2607,0.2639,0.2963,0.5214,0.5616,0.3575,0.5333,0.4623,0.6575,0.5102,,balanced,0.5385,0.3185,rectangle,155.87,38.27,108.16,104.85,117.7,64.42,35.14,31.68,27.14,25.43,16.54,21.03,20.92,41.94,34.78,38.01,72.78
char_07575,female,29,obese,0.8368,0.258,0.3101,0.6313,0.3313,0.4592,0.3581,0.4167,0.3831,0.5495,,balanced,0.851,0.2374,apple,158.14,55.23,156.69,174.34,192.81,103.75,45.84,44.97,36.07,30.56,20.18,20.79,19.31,40.11,36.81,36.28,73.09
char_07625,female,17,obese,0.6679,0.2449,0.3089,0.6285,0.4853,0.3285,0.4395,0.3423,0.3807,0.3568,,balanced,0.4479,0.581,apple,157.48,49.74,145.11,148.82,162.65,87.51,43.43,40.1,33.04,28.62,18.99,20.23,19.26,39.49,34.97,37.31,72.27
char_07633,female,26,normal,0.1874,0.1612,0.3382,0.591,0.6838,0.552,0.8012,0.5012,0.7861,0.5242,,balanced,0.6136,0.8493,rectangle,166.51,35.92,98.87,95.12,110.57,61.23,34.93,28.06,25.28,24.57,16.03,22.47,22.83,45.3,39.39,43.7,83.08
char_07739,female,20,overweight,0.5342,0.2445,0.2959,0.426,0.4737,0.5666,0.4458,0.4653,0.6873,0.3873,,balanced,0.366,0.5616,apple,156.31,44.8,121.04,132.99,148.1,81.24,39.88,38.17,31.79,28.93,18.57,21.14,21.12,42.25,37.61,36.85,74.45
char_07769,female,19,obese,0.6826,0.233,0.2985,0.4311,0.4899,0.5474,0.3888,0.2474,0.3852,0.2661,,balanced,0.6638,0.8406,pear,156.78,49.31,137.84,152.03,170.75,93.44,43.42,39.16,32.92,29.09,19.19,19.41,19.03,38.45,37.51,36.19,73.69
char_07828,female,38,overweight,0.559,0.2676,0.2973,0.3875,0.3902,0.6875,0.6446,0.4189,0.5518,0.6589,,balanced,0.7313,0.2527,apple,159.81,45.17,117.74,140.3,158.45,86.34,42.41,37.2,31.31,27.96,18.39,20.89,20.19,41.08,39.38,39.68,79.05
char_07950,female,29,obese,0.9135,0.3004,0.2989,0.4457,0.6824,0.3843,0.6685,0.6359,0.5559,0.3824,,balanced,0.4963,0.3168,apple,157.34,56.17,145.65,179.13,193.65,104.65,50.42,49.56,38.47,32.43,20.98,22.45,20.29,42.74,35.32,39.99,75.3
char_07991,female,20,obese,0.7886,0.2399,0.293,0.5847,0.4024,0.2847,0.5683,0.5847,0.4362,0.4546,,balanced,0.2375,0.3913,apple,156.39,53.36,150.51,161.09,173.34,92.63,46.92,46.52,36.17,30.17,19.87,21.64,19.3,40.94,33.66,38.31,71.96
char_08002,female,14,obese,0.7,0.2687,0.2957,0.5071,0.3428,0.6391,0.5797,0.5869,0.574,0.6428,,balanced,0.4032,0.4313,apple,159.59,49.56,133.83,152.9,168.79,91.51,44.39,43.24,34.56,29.76,19.43,21.96,20.33,42.29,38.6,38.7,77.3
char_08058,female,36,normal,0.2954,0.282,0.309,0.5836,0.5976,0.3535,0.5198,0.3017,0.6017,0.5729,,balanced,0.8214,0.8538,pear,158.03,39.41,115.59,108.62,124.54,67.82,35.88,30.67,27.03,25.45,16.68,20.08,20.81,40.89,35.33,38.42,73.73
char_08075,female,27,obese,0.9175,0.2737,0.2938,0.6982,0.4063,0.6771,0.3982,0.4917,0.6737,0.4947,,balanced,0.627,0.5708,apple,160.27,58.29,292.78,180.81,199.88,108.82,46.96,46.35,37.9,33.55,21.34,21.01,20.98,41.98,39.03,36.14,75.16
char_08145,female,34,athletic_hyper,0.0703,0.9315,0.2961,0.6229,0.7673,0.6042,0.5847,0.7731,0.4995,0.4731,,balanced,0.7524,0.3668,pear,160.37,36.56,105.3,88.45,107.63,61.56,32.18,35.97,26.74,21.7,14.95,23.45,20.07,43.51,38.05,38.64,76.67
char_08194,female,17,normal,0.2821,0.1684,0.2851,0.6189,0.3446,0.6446,0.5341,0.4906,0.3949,0.4369,,balanced,0.8566,0.271,apple,160.06,38.54,116.6,109.28,127.75,70.76,35.46,32.61,26.94,23.25,16.02,20.74,18.81,39.55,38.22,37.58,75.79
char_08287,female,28,obese,0.9331,0.2305,0.3003,0.4812,0.3308,0.6308,0.355,0.5946,0.4398,0.4016,,balanced,0.4544,0.5215,apple,157.51,57.48,283.42,180.52,198.59,108.17,47.6,50.29,38.67,32.14,20.99,22.01,19.5,41.51,38.69,35.83,74.51
char_08330,female,32,obese,0.6817,0.2149,0.2894,0.6712,0.3712,0.6388,0.4072,0.4257,0.5146,0.6217,,balanced,0.6178,0.3947,apple,159.22,49.86,145.63,152.95,170.25,92.29,42.05,39.99,33.25,29.15,19.2,20.38,19.75,40.12,38.3,36.04,74.33
char_08384,female,27,underweight,0.0285,0.072,0.4969,0.4639,0.5324,0.2324,0.5162,0.2333,0.4156,0.4408,,balanced,0.2143,0.3034,apple,175.5,29.87,88.57,70.88,81.82,42.84,26.83,19.64,19.01,17.26,13.11,24.42,23.93,48.35,42.1,47.15,89.24
char_08386,female,21,obese,0.8905,0.2454,0.2954,0.6212,0.39,0.401,0.51,0.3392,0.3212,0.4704,,balanced,0.56,0.6418,apple,157.97,57.13,160.7,175.69,192.55,104.28,48.9,44.84,36.3,30.63,20.4,19.85,18.52,38.37,35.37,37.66,73.02
char_08410,female,25,obese,0.6893,0.28,0.3024,0.5374,0.5091,0.5043,0.3709,0.6709,0.5819,0.3882,,balanced,0.756,0.5231,apple,156.59,49.79,138.48,154.37,171.94,92.7,42.2,45.27,35.27,30.16,19.5,22.65,20.56,43.2,37.06,36.11,73.17
char_08413,female,18,athletic_lean,0.1183,0.4532,0.3049,0.3731,0.4889,0.3534,0.6046,0.4839,0.6534,0.4631,,balanced,0.2574,0.8558,v_shape,155.77,35.31,92.97,86.28,100.01,56.61,33.7,30.07,25.3,23.59,15.4,21.55,21.1,42.65,35.11,39.39,74.49
char_08425,female,24,athletic_lean,0.0891,0.5893,0.3705,0.6994,0.5414,0.6645,0.5469,0.8414,0.8064,0.7703,,upper_dominant,0.6399,0.351,pear,168.61,35.92,101.5,87.01,102.08,57.35,29.53,33.18,26.23,23.16,15.12,25.72,23.8,49.52,42.32,41.76,84.07
char_08472,female,22,obese,0.9433,0.2455,0.3035,0.5284,0.6992,0.6637,0.4594,0.5104,0.3992,0.5999,,balanced,0.8747,0.6832,apple,159.77,57.14,151.41,186.27,206.92,113.49,48.13,47.23,37.48,31.06,20.73,21.52,19.28,40.8,39.35,37.42,76.76
char_08494,female,36,obese,0.6355,0.2726,0.3103,0.1486,0.1436,0.3725,0.0835,0.1672,0.3835,0.2999,,balanced,0.3382,0.3622,apple,148.8,47.56,127.21,145.39,160.99,88.13,40.84,39.95,33.14,30.04,19.27,19.26,19.29,38.55,35.59,32.51,68.09
char_08518,female,18,normal,0.2533,0.2959,0.2956,0.5862,0.2919,0.5159,0.5919,0.4169,0.3216,0.4771,,balanced,0.6753,0.8697,pear,160.13,38.51,116.54,103.3,121.22,67.73,36.49,31.9,26.43,22.7,15.74,20.44,18.54,38.98,36.93,38.83,75.75
char_08565,female,34,athletic_lean,0.1187,0.5006,0.2453,0.4656,0.3635,0.6179,0.531,0.5418,0.3182,0.6182,,balanced,0.4661,0.8749,hourglass,153.22,35.66,99.3,88.06,106.24,61.3,32.92,31.33,24.96,20.77,14.62,20.27,17.33,37.6,36.0,35.68,71.67
char_08590,female,16,obese,0.7108,0.1611,0.2767,0.4653,0.7653,0.7102,0.5218,0.5437,0.7169,0.5365,,balanced,0.4339,0.8571,rectangle,156.86,48.7,126.82,152.52,168.91,92.22,42.8,41.08,34.17,30.63,19.74,21.33,20.88,42.2,38.72,37.04,75.75
char_08602,female,40,overweight,0.5511,0.1627,0.2928,0.5467,0.4331,0.2725,0.3342,0.54,0.5725,0.4623,,balanced,0.6441,0.7012,pear,152.56,45.55,132.47,135.66,150.31,80.67,39.03,40.34,32.48,28.69,18.57,21.37,20.25,41.62,33.46,35.1,68.55
char_08621,female,20,athletic_lean,0.0659,0.4935,0.2842,0.4381,0.4866,0.3176,0.3899,0.6176,0.3861,0.5666,,push_dominant,0.634,0.5352,pear,151.35,34.21,96.49,82.28,97.91,54.51,29.75,31.71,24.67,20.38,14.29,21.8,18.74,40.54,33.66,35.47,69.13
char_08681,female,21,normal,0.3124,0.1189,0.3379,0.7708,0.5665,0.5922,0.7309,0.5573,0.7181,0.4708,,balanced,0.8725,0.2339,apple,168.65,39.19,119.26,112.27,128.27,69.54,36.71,31.73,27.5,25.51,16.78,22.61,22.35,44.96,39.93,42.74,82.66
char_08721,female,22,obese,0.7927,0.2933,0.2923,0.2715,0.2553,0.3714,0.2351,0.5351,0.5295,0.4205,,balanced,0.5888,0.3295,apple,149.26,52.07,136.62,165.75,182.45,98.37,44.36,47.75,37.08,32.1,20.43,21.55,19.93,41.48,34.77,33.75,68.51
char_08757,female,36,overweight,0.4612,0.2155,0.2964,0.6823,0.3938,0.6264,0.5889,0.3926,0.6926,0.4726,,balanced,0.343,0.4329,apple,162.19,43.53,129.58,125.29,139.61,76.83,39.31,34.01,29.76,27.91,18.01,20.38,21.16,41.54,38.45,38.86,77.3
char_08774,female,38,obese,0.8871,0.3096,0.2945,0.3976,0.4966,0.401,0.5846,0.5586,0.2846,0.4421,,balanced,0.5228,0.773,rectangle,156.02,55.66,146.37,174.48,191.36,104.02,49.82,49.15,37.47,30.32,20.28,21.65,18.27,39.91,35.34,38.64,73.98
char_08806,female,30,overweight,0.5099,0.2366,0.3107,0.5695,0.6134,0.4168,0.4377,0.573,0.3134,0.4718,,balanced,0.723,0.7787,pear,158.01,44.79,129.84,132.35,148.22,80.28,39.35,39.8,31.24,25.65,17.55,21.99,18.86,40.85,36.26,37.39,73.64
