char_id,gender,morph_key,morph_id,morph_value,height_cm,shoulder_width_cm,hip_width_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,neck_circ_cm,bicep_circ_cm,forearm_circ_cm,mid_thigh_circ_cm,calf_circ_cm,upper_arm_length_cm,forearm_length_cm,upper_leg_length_cm,lower_leg_length_cm
sens_musc_arm_03_m,male,musc_arm,2025-05-05-12-31-36_embed_athetic_arn_01,0.3,179.01,46.97,32.72,87.04,75.42,86.45,31.14,26.86,21.04,49.61,28.75,26.43,24.68,45.94,47.15
sens_pectoral_scale_02_m,male,pectoral_scale,cc embed morphs/embed_torso114,0.2,179.02,46.95,32.72,87.71,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_shoulder_scale_02_m,male,shoulder_scale,cc embed morphs/embed_arm101,-0.2,179.01,46.81,32.72,86.98,75.41,86.45,31.14,25.06,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_thigh_len_09_f,female,thigh_len,cc embed morphs/embed_leg4,0.8,197.35,47.1,32.47,87.1,75.46,86.7,30.99,25.73,20.66,49.69,29.09,26.43,24.7,63.91,47.64
sens_breast_scale_10_m,male,breast_scale,cc embed morphs/embed_torso102,1.0,179.01,46.89,32.72,111.51,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_depth_09_f,female,chest_depth,cc embed morphs/embed_torso103,0.85,178.8,47.1,32.76,96.3,75.81,86.52,31.0,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_muscular_00_f,female,body_muscular,cc embed morphs/embed_full_body6,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_chest_scale_07_m,male,chest_scale,cc embed morphs/embed_torso104,0.55,182.8,49.01,32.72,97.75,75.41,86.45,31.53,25.61,20.57,49.61,28.75,26.19,24.68,45.94,47.15
sens_forearm_scale_09_m,male,forearm_scale,cc embed morphs/embed_arm2,0.8,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,25.13,49.61,28.75,26.43,24.68,45.94,47.15
sens_shoulder_scale_06_m,male,shoulder_scale,cc embed morphs/embed_arm101,0.4,179.01,47.0,32.72,87.11,75.41,86.45,31.14,26.82,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_lower_leg_len_08_f,female,lower_leg_len,cc embed morphs/embed_leg5,0.6,193.07,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.68,28.78,26.43,24.7,46.26,60.93
sens_neck_len_07_m,male,neck_len,cc embed morphs/embed_torso109,0.4,180.52,46.89,32.72,87.0,75.41,86.45,31.11,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_breast_scale_04_f,female,breast_scale,cc embed morphs/embed_torso102,0.4,178.8,47.1,32.76,95.2,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_abs_10_f,female,musc_abs,2025-05-08-15-26-33_embed_athetic_abs_iso_01,1.0,178.8,47.1,32.76,87.1,75.66,86.51,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_muscular_04_f,female,body_muscular,cc embed morphs/embed_full_body6,0.4,178.8,47.0,33.52,92.41,76.87,88.01,32.4,27.69,21.07,52.44,30.64,26.43,24.7,46.0,47.15
sens_musc_neck_01_m,male,musc_neck,2025-05-05-13-47-33_embed_athetic_chest_01,0.1,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_forearm_len_02_f,female,forearm_len,cc embed morphs/embed_arm5,-0.6,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.77,20.5,49.76,28.89,26.08,17.64,46.0,47.15
sens_chest_width_00_m,male,chest_width,cc embed morphs/embed_torso105,-0.5,178.85,45.49,32.72,82.4,75.41,86.45,31.14,25.67,20.57,49.61,28.75,26.66,24.68,45.94,47.15
sens_musc_arm_07_f,female,musc_arm,2025-05-05-12-31-36_embed_athetic_arn_01,0.7,178.8,47.07,32.76,87.14,75.46,86.52,30.99,28.69,21.82,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_abs_06_m,male,musc_abs,2025-05-08-15-26-33_embed_athetic_abs_iso_01,0.6,179.01,46.89,32.72,87.02,75.5,86.44,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_hip_love_handles_00_f,female,hip_love_handles,cc embed morphs/embed_torso107,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_breast_prox_05_f,female,breast_prox,cc embed morphs/embed_torso101,0.5,178.8,47.1,32.76,87.45,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_calf_00_f,female,musc_calf,2025-05-05-12-33-02_embed_athetic_calf_01,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_chest_depth_02_f,female,chest_depth,cc embed morphs/embed_torso103,-0.2,178.8,47.1,32.76,84.99,75.38,86.52,30.98,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_muscular_10_f,female,body_muscular,cc embed morphs/embed_full_body6,1.0,178.8,47.06,34.69,101.06,79.03,90.36,34.83,30.86,21.71,56.64,33.34,26.43,24.7,46.0,47.15
sens_thigh_scale_08_m,male,thigh_scale,cc embed morphs/embed_leg3,0.6,179.01,46.89,34.34,87.09,76.02,90.98,31.11,25.65,20.58,54.25,28.71,26.43,24.68,46.09,47.15
sens_hip_scale_01_m,male,hip_scale,cc embed morphs/embed_torso2,-0.17,179.01,46.89,31.51,87.02,74.19,83.8,31.15,25.64,20.56,48.42,28.75,26.43,24.68,45.91,47.15
sens_shoulder_scale_01_f,female,shoulder_scale,cc embed morphs/embed_arm101,-0.35,178.8,47.1,32.76,87.02,75.46,86.52,30.99,24.71,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_pectoral_height_04_m,male,pectoral_height,cc embed morphs/embed_torso115,0.4,179.02,46.89,32.72,87.39,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_buttocks_08_f,female,skin_buttocks,2025-06-10-17-01-51_pack_skinny_bottom_02,0.8,178.8,47.1,32.42,87.1,74.88,84.33,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_glute_scale_01_f,female,glute_scale,cc embed morphs/embed_torso1,-0.8,178.8,47.1,32.22,87.1,74.71,83.29,30.99,25.73,20.66,49.52,28.89,26.43,24.7,46.0,47.15
sens_skin_ribcage_04_m,male,skin_ribcage,2025-05-07-12-27-17_pack_skinny_rib_01,0.4,179.01,46.89,32.72,87.01,74.21,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_glute_scale_08_f,female,glute_scale,cc embed morphs/embed_torso1,0.6,178.8,47.1,33.23,87.1,76.27,89.84,30.99,25.73,20.66,49.96,28.89,26.43,24.7,46.0,47.15
sens_body_thin_09_f,female,body_thin,cc embed morphs/embed_full_body5,0.9,178.6,46.6,30.82,79.89,69.09,78.62,29.12,20.8,16.84,41.69,25.03,26.65,24.61,45.78,47.18
sens_skin_spine_10_f,female,skin_spine,2025-05-07-14-17-56_pack_skinny_spine_01,1.0,178.8,47.1,32.76,87.58,75.61,86.62,30.78,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_thigh_02_f,female,musc_thigh,2025-05-05-12-32-25_embed_athetic_thigh_01,0.2,178.8,47.1,33.1,87.1,75.47,87.13,30.99,25.73,20.66,50.55,28.89,26.43,24.7,46.0,47.15
sens_musc_chest_a_00_f,female,musc_chest_a,2025-05-05-12-07-08_embed_athetic_chest_01,0.0,178.8,47.1,32.76,87.09,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_neck_00_m,male,skin_neck,2025-05-07-12-04-51_pack_skinny_neck_01,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_body_thin_07_m,male,body_thin,cc embed morphs/embed_full_body5,0.7,178.86,46.68,31.17,81.39,70.42,80.15,29.67,21.76,17.58,43.29,25.74,26.6,24.61,45.77,47.17
sens_musc_back_09_f,female,musc_back,2025-05-05-12-31-03_embed_athetic_back_01,0.9,178.8,47.1,32.76,91.12,76.17,86.52,31.0,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_pectoral_scale_05_f,female,pectoral_scale,cc embed morphs/embed_torso114,0.5,178.8,47.04,32.76,88.87,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_neck_len_10_f,female,neck_len,cc embed morphs/embed_torso109,1.0,182.6,47.1,32.76,87.02,75.46,86.52,30.9,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_breast_scale_05_f,female,breast_scale,cc embed morphs/embed_torso102,0.5,178.8,47.1,32.76,97.65,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_thigh_scale_02_f,female,thigh_scale,cc embed morphs/embed_leg3,-0.6,178.8,47.1,31.14,87.03,74.86,82.08,31.01,25.72,20.64,45.08,28.93,26.43,24.7,45.85,47.15
sens_forearm_len_07_f,female,forearm_len,cc embed morphs/embed_arm5,0.4,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.7,20.7,49.76,28.89,26.67,29.4,46.0,47.15
sens_neck_len_09_m,male,neck_len,cc embed morphs/embed_torso109,0.8,182.02,46.89,32.72,86.97,75.41,86.45,31.07,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_neck_09_m,male,skin_neck,2025-05-07-12-04-51_pack_skinny_neck_01,0.9,179.01,46.89,32.72,87.02,75.42,86.45,29.02,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_b_03_f,female,musc_chest_b,2025-05-08-11-32-58_embed_athetic_chest_02,0.3,178.8,47.1,32.76,87.85,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_spine_04_m,male,skin_spine,2025-05-07-14-17-56_pack_skinny_spine_01,0.4,179.01,46.89,32.72,87.13,75.39,86.42,31.04,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_breast_scale_07_f,female,breast_scale,cc embed morphs/embed_torso102,0.7,178.8,47.1,32.76,102.93,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_glute_scale_05_f,female,glute_scale,cc embed morphs/embed_torso1,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_lower_leg_scale_03_f,female,lower_leg_scale,cc embed morphs/embed_leg2,-0.4,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,26.03,26.43,24.7,46.0,47.15
sens_musc_chest_b_07_m,male,musc_chest_b,2025-05-08-11-32-58_embed_athetic_chest_02,0.7,179.01,46.89,32.72,89.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_neck_len_03_m,male,neck_len,cc embed morphs/embed_torso109,-0.4,177.51,46.89,32.72,87.05,75.41,86.45,31.15,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_body_builder_10_m,male,body_builder,cc embed morphs/embed_full_body1,1.0,178.17,47.66,35.91,112.57,83.46,98.29,37.75,38.94,26.08,64.35,36.13,27.18,25.55,45.55,46.61
sens_skin_arm_09_f,female,skin_arm,2025-05-07-14-12-07_pack_skinny_arm_01,0.9,178.8,47.06,32.76,87.08,75.46,86.52,30.99,22.71,16.54,49.76,28.89,26.43,24.7,46.0,47.15
sens_chest_scale_09_m,male,chest_scale,cc embed morphs/embed_torso104,0.85,184.77,49.95,32.72,103.8,75.41,86.45,31.74,25.59,20.57,49.61,28.75,26.06,24.68,45.94,47.15
sens_skin_abs_02_f,female,skin_abs,2025-05-07-13-43-26_pack_skinny_abs_01,0.2,178.8,47.1,32.76,87.1,75.07,86.45,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_back_09_f,female,skin_back,2025-06-10-17-08-24_pack_skinny_back_02,0.9,178.8,47.1,32.76,86.28,72.51,86.44,30.97,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_chest_width_09_m,male,chest_width,cc embed morphs/embed_torso105,0.85,179.04,49.72,32.72,95.02,75.42,86.45,31.14,25.6,20.57,49.61,28.75,26.02,24.68,45.94,47.15
sens_thigh_len_10_m,male,thigh_len,cc embed morphs/embed_leg4,1.0,202.17,46.89,32.42,87.02,75.42,86.67,31.14,25.64,20.57,49.53,28.99,26.43,24.68,68.3,47.76
sens_shoulder_scale_07_m,male,shoulder_scale,cc embed morphs/embed_arm101,0.55,179.01,47.02,32.72,87.14,75.41,86.45,31.14,27.27,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_forearm_len_10_m,male,forearm_len,cc embed morphs/embed_arm5,1.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.57,20.59,49.61,28.75,27.02,36.44,45.94,47.15
sens_forearm_len_02_m,male,forearm_len,cc embed morphs/embed_arm5,-0.6,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.68,20.41,49.61,28.75,26.07,17.63,45.94,47.15
sens_musc_shoulder_07_m,male,musc_shoulder,2025-05-05-12-22-16_embed_athetic_shoulder_01,0.7,179.01,47.06,32.72,87.02,75.42,86.45,31.14,25.94,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_upperarm_len_01_f,female,upperarm_len,cc embed morphs/embed_arm4,-0.8,178.8,46.81,32.76,87.08,75.46,86.52,30.99,25.73,20.58,49.76,28.89,16.67,24.49,46.0,47.15
sens_skin_chest_06_m,male,skin_chest,2025-05-08-14-58-30_pack_skinny_chest_03,0.6,179.01,46.89,32.72,86.22,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_pectoral_height_00_m,male,pectoral_height,cc embed morphs/embed_torso115,0.0,179.02,46.89,32.72,87.02,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_width_09_f,female,chest_width,cc embed morphs/embed_torso105,0.85,178.83,49.8,32.76,95.1,75.47,86.52,30.99,25.69,20.66,49.76,28.89,26.03,24.7,46.0,47.15
sens_lower_leg_scale_08_f,female,lower_leg_scale,cc embed morphs/embed_leg2,0.6,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,33.2,26.43,24.7,46.0,47.15
sens_abs_line_09_f,female,abs_line,cc embed morphs/embed_torso106,0.9,178.8,47.1,32.76,87.1,75.59,86.51,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_arm_00_m,male,musc_arm,2025-05-05-12-31-36_embed_athetic_arn_01,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_obliques_06_m,male,musc_obliques,2025-05-08-15-29-44_embed_athetic_side_abs_01,0.6,179.01,46.89,32.72,87.02,75.57,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_shoulder_06_f,female,musc_shoulder,2025-05-05-12-22-16_embed_athetic_shoulder_01,0.6,178.8,47.01,32.76,87.09,75.46,86.52,30.99,25.98,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_back_08_f,female,skin_back,2025-06-10-17-08-24_pack_skinny_back_02,0.8,178.8,47.1,32.76,86.31,72.81,86.45,30.97,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_hip_scale_04_f,female,hip_scale,cc embed morphs/embed_torso2,0.22,178.8,47.1,34.35,87.1,77.01,89.97,30.97,25.73,20.66,51.3,28.89,26.43,24.7,46.03,47.15
sens_breast_prox_08_m,male,breast_prox,cc embed morphs/embed_torso101,0.8,179.01,46.89,32.72,88.01,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_arm_03_f,female,skin_arm,2025-05-07-14-12-07_pack_skinny_arm_01,0.3,178.8,47.05,32.76,87.09,75.46,86.52,30.99,24.67,19.26,49.76,28.89,26.43,24.7,46.0,47.15
sens_hip_love_handles_10_m,male,hip_love_handles,cc embed morphs/embed_torso107,1.0,179.01,46.89,32.72,87.02,78.35,86.46,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_breast_scale_03_m,male,breast_scale,cc embed morphs/embed_torso102,0.3,179.01,46.89,32.72,92.83,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_upperarm_len_10_f,female,upperarm_len,cc embed morphs/embed_arm4,1.0,178.8,47.38,32.76,87.11,75.46,86.52,30.99,25.72,20.75,49.76,28.89,38.64,24.95,46.0,47.15
sens_musc_shoulder_10_m,male,musc_shoulder,2025-05-05-12-22-16_embed_athetic_shoulder_01,1.0,179.01,46.93,32.72,87.02,75.42,86.45,31.15,26.07,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_buttocks_05_f,female,skin_buttocks,2025-06-10-17-01-51_pack_skinny_bottom_02,0.5,178.8,47.1,32.54,87.1,75.09,85.05,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_thigh_03_f,female,skin_thigh,2025-06-10-17-18-17_pack_skinny_thigh_02,0.3,178.8,47.1,32.14,87.1,74.88,85.53,30.99,25.73,20.66,47.64,28.89,26.43,24.7,46.0,47.15
sens_musc_neck_07_f,female,musc_neck,2025-05-05-13-47-33_embed_athetic_chest_01,0.7,178.8,47.1,32.76,87.1,75.46,86.52,31.12,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_pectoral_height_01_f,female,pectoral_height,cc embed morphs/embed_torso115,0.1,178.8,47.1,32.76,87.18,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_calf_02_f,female,musc_calf,2025-05-05-12-33-02_embed_athetic_calf_01,0.2,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,29.34,26.43,24.7,46.0,47.15
sens_neck_len_04_m,male,neck_len,cc embed morphs/embed_torso109,-0.2,178.26,46.89,32.72,87.04,75.41,86.45,31.15,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_shoulder_scale_06_f,female,shoulder_scale,cc embed morphs/embed_arm101,0.4,178.8,47.01,32.76,87.18,75.46,86.52,30.99,26.92,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_glute_scale_04_m,male,glute_scale,cc embed morphs/embed_torso1,-0.2,179.01,46.89,32.59,87.02,75.2,85.53,31.14,25.64,20.57,49.54,28.75,26.43,24.68,45.94,47.15
sens_musc_back_01_m,male,musc_back,2025-05-05-12-31-03_embed_athetic_back_01,0.1,179.01,46.89,32.72,87.26,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_ribcage_08_m,male,skin_ribcage,2025-05-07-12-27-17_pack_skinny_rib_01,0.8,179.01,46.89,32.72,87.04,73.15,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_body_fat_04_m,male,body_fat,cc embed morphs/embed_full_body3,0.4,179.12,47.04,38.54,108.35,111.06,120.93,40.64,34.37,25.64,67.41,36.77,26.43,24.68,45.94,47.15
sens_abs_line_02_f,female,abs_line,cc embed morphs/embed_torso106,0.2,178.8,47.1,32.76,87.1,75.45,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_neck_scale_00_m,male,neck_scale,cc embed morphs/embed_torso110,0.0,179.02,46.89,32.72,87.02,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_spine_01_m,male,skin_spine,2025-05-07-14-17-56_pack_skinny_spine_01,0.1,179.01,46.89,32.72,87.04,75.4,86.44,31.11,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_c_01_m,male,musc_chest_c,2025-06-10-15-34-47_embed_athetic_chest_c,0.1,179.01,46.89,32.72,87.27,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_pectoral_height_09_m,male,pectoral_height,cc embed morphs/embed_torso115,0.9,179.02,46.89,32.72,87.89,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_height_10_m,male,chest_height,cc embed morphs/embed_torso112,1.0,183.94,46.88,32.72,87.42,75.41,86.45,31.23,25.64,20.57,49.61,28.75,26.43,24.69,45.94,47.15
sens_thigh_len_02_f,female,thigh_len,cc embed morphs/embed_leg4,-0.6,164.88,47.1,33.13,87.1,75.46,86.37,30.99,25.73,20.66,49.83,28.74,26.43,24.7,32.56,46.78
sens_pectoral_height_07_f,female,pectoral_height,cc embed morphs/embed_torso115,0.7,178.8,47.1,32.76,87.75,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_upperarm_scale_00_m,male,upperarm_scale,cc embed morphs/embed_arm3,-1.0,179.01,47.01,32.72,86.97,75.41,86.45,31.14,17.33,20.56,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_ribcage_06_m,male,skin_ribcage,2025-05-07-12-27-17_pack_skinny_rib_01,0.6,179.01,46.89,32.72,87.02,73.66,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_depth_07_m,male,chest_depth,cc embed morphs/embed_torso103,0.55,179.01,46.89,32.72,92.93,75.64,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_c_00_m,male,musc_chest_c,2025-06-10-15-34-47_embed_athetic_chest_c,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_upperarm_len_09_f,female,upperarm_len,cc embed morphs/embed_arm4,0.8,178.8,47.19,32.76,87.1,75.46,86.52,30.99,25.73,20.73,49.76,28.89,36.2,24.9,46.0,47.15
sens_musc_thigh_06_f,female,musc_thigh,2025-05-05-12-32-25_embed_athetic_thigh_01,0.6,178.8,47.1,33.82,87.1,75.51,88.39,30.99,25.73,20.66,52.23,28.89,26.43,24.7,46.0,47.15
sens_forearm_len_06_f,female,forearm_len,cc embed morphs/embed_arm5,0.2,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.72,20.69,49.76,28.89,26.55,27.05,46.0,47.15
sens_musc_chest_a_08_m,male,musc_chest_a,2025-05-05-12-07-08_embed_athetic_chest_01,0.8,179.01,46.89,32.72,88.74,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_a_09_m,male,musc_chest_a,2025-05-05-12-07-08_embed_athetic_chest_01,0.9,179.01,46.89,32.72,89.07,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_body_thin_00_f,female,body_thin,cc embed morphs/embed_full_body5,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_chest_b_05_f,female,musc_chest_b,2025-05-08-11-32-58_embed_athetic_chest_02,0.5,178.8,47.1,32.76,88.44,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_forearm_scale_03_m,male,forearm_scale,cc embed morphs/embed_arm2,-0.4,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,18.31,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_thigh_09_f,female,musc_thigh,2025-05-05-12-32-25_embed_athetic_thigh_01,0.9,178.8,47.1,34.38,87.1,75.56,89.37,30.99,25.73,20.66,53.57,28.89,26.43,24.7,46.0,47.15
sens_skin_back_05_f,female,skin_back,2025-06-10-17-08-24_pack_skinny_back_02,0.5,178.8,47.1,32.76,86.47,73.75,86.47,30.98,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_shoulder_08_f,female,skin_shoulder,2025-05-07-12-21-11_pack_skinny_shoulder_01,0.8,178.8,47.07,32.76,87.1,75.46,86.52,30.96,25.38,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_thigh_scale_10_f,female,thigh_scale,cc embed morphs/embed_leg3,1.0,178.8,47.1,35.47,87.21,76.46,94.15,30.95,25.74,20.69,57.55,28.83,26.43,24.7,46.24,47.15
sens_musc_arm_09_f,female,musc_arm,2025-05-05-12-31-36_embed_athetic_arn_01,0.9,178.8,46.81,32.76,87.16,75.46,86.52,30.99,29.6,22.18,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_muscular_10_m,male,body_muscular,cc embed morphs/embed_full_body6,1.0,179.02,47.05,34.64,100.94,78.95,90.27,35.08,30.72,21.61,56.44,33.19,26.43,24.68,45.94,47.15
sens_glute_scale_05_m,male,glute_scale,cc embed morphs/embed_torso1,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_obliques_09_f,female,musc_obliques,2025-05-08-15-29-44_embed_athetic_side_abs_01,0.9,178.8,47.1,32.76,87.1,75.75,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_upperarm_len_02_f,female,upperarm_len,cc embed morphs/embed_arm4,-0.6,178.8,46.85,32.76,87.09,75.46,86.52,30.99,25.73,20.6,49.76,28.89,19.11,24.54,46.0,47.15
sens_chest_depth_00_f,female,chest_depth,cc embed morphs/embed_torso103,-0.5,178.8,47.1,32.76,81.88,75.26,86.52,30.98,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_glute_scale_06_m,male,glute_scale,cc embed morphs/embed_torso1,0.2,179.01,46.89,32.85,87.02,75.66,87.46,31.14,25.64,20.57,49.67,28.75,26.43,24.68,45.94,47.15
sens_lower_leg_scale_01_f,female,lower_leg_scale,cc embed morphs/embed_leg2,-0.8,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,23.17,26.43,24.7,46.0,47.15
sens_musc_waist_00_f,female,musc_waist,2025-05-05-12-18-34_embed_athetic_abs_01,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_muscular_08_f,female,body_muscular,cc embed morphs/embed_full_body6,0.8,178.8,47.03,34.28,98.08,78.31,89.56,33.97,29.78,21.49,55.22,32.43,26.43,24.7,46.0,47.15
sens_skin_back_00_m,male,skin_back,2025-06-10-17-08-24_pack_skinny_back_02,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_hip_love_handles_03_f,female,hip_love_handles,cc embed morphs/embed_torso107,0.3,178.8,47.1,32.76,87.1,76.34,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_chest_scale_08_m,male,chest_scale,cc embed morphs/embed_torso104,0.7,183.79,49.53,32.72,100.76,75.41,86.45,31.63,25.6,20.57,49.61,28.75,26.12,24.68,45.94,47.15
sens_neck_scale_09_m,male,neck_scale,cc embed morphs/embed_torso110,0.9,179.02,46.89,32.72,87.02,75.41,86.45,34.86,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
